역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소
방이,57.9,507,6.7,2.4
오금,85.8,577,7.7,2.5
개롱,83.6,511,3.6,2.3
거여,80.4,514,3.5,2.4
마천,60.5,473,2.8,2.3
응암,63.4,640,5.2,1.6
역촌,61.9,539,3.0,1.4
불광,86.7,603,2.7,1.0
독바위,64.0,506,1.5,1.2
연신내,82.5,649,2.6,1.5
구산,67.0,613,1.1,1.4
새절,70.3,612,3.6,1.0
증산,57.9,562,2.1,0.9
디지털미디어시티,90.1,513,2.0,0.9
월드컵경기장,66.5,520,0.4,1.0
마포구청,78.7,683,2.1,1.5
망원,75.2,630,2.2,1.7
합정,87.4,656,6.2,1.1
상수,78.8,586,1.8,1.3
광흥창,93.0,571,1.1,1.1
대흥,89.8,594,3.3,1.5
공덕,92.0,656,4.4,1.5
효창공원앞,60.5,570,4.8,1.6
삼각지,89.6,648,2.4,1.3
녹사평,69.4,492,0.6,0.9
이태원,78.9,639,3.4,1.7
한강진,84.8,557,1.9,1.1
버티고개,66.8,494,0.9,1.3
약수,78.2,627,2.7,1.5
청구,78.4,580,2.0,1.6
신당,89.8,574,2.3,1.5
동묘앞,78.7,575,9.5,1.6
창신,91.2,524,8.7,2.3
보문,92.4,668,6.9,1.8
안암,81.7,615,12.6,1.6
고려대,59.6,579,10.5,1.7
월곡,71.4,541,11.3,1.2
상월곡,78.0,512,7.5,1.8
돌곶이,86.5,571,10.6,1.9
석계,85.3,717,11.5,1.6
태릉입구,92.3,550,7.5,1.2
화랑대,76.3,529,7.7,1.0
봉화산,71.8,520,8.8,1.3
수락산,84.6,543,8.6,1.1
마들,81.9,532,7.4,0.9
노원,82.6,662,11.7,1.5
중계,78.2,558,9.5,1.3
하계,77.1,699,9.8,1.6
공릉,86.3,629,7.9,1.0
태릉입구,86.0,573,11.8,1.0
먹골,81.7,548,9.8,1.2
중화,76.3,552,9.5,1.4
상봉,85.0,675,9.3,1.8
면목,90.1,616,8.4,1.2
사가정,93.2,550,9.1,1.0
용마산,79.8,565,9.8,1.2
중곡,86.0,512,10.1,1.3
군자,84.0,689,13.0,1.4
어린이대공원,77.1,627,10.3,1.6
건대입구,76.3,669,11.7,1.4
청담,79.2,660,15.3,1.5
강남구청,80.7,636,13.0,1.7
학동,80.5,603,18.1,1.5
논현,81.3,693,10.6,1.4
반포,84.0,619,9.5,1.2
고속터미널,86.8,677,8.6,1.0
내방,90.0,639,6.1,1.5
이수,82.6,736,5.8,1.2
남성,78.0,537,3.4,1.3
숭실대입구,82.1,627,6.8,1.1
상도,79.4,595,6.0,1.1
장승배기,76.6,572,6.1,1.0
신대방삼거리,80.7,608,8.0,1.2
보라매,85.7,562,6.2,1.3
신풍,80.8,664,7.7,1.3
대림,94.4,713,7.7,1.1
남구로,90.4,628,11.0,1.2
가산디지털단지,86.2,608,14.2,1.4
철산,84.6,537,14.8,1.5
광명사거리,87.7,571,6.7,1.6
천왕,81.4,552,4.1,1.0
온수,76.8,547,7.7,1.1
까치울,80.6,492,11.0,1.3
부천종합운동장,77.0,499,5.7,1.3
춘의,74.2,576,5.9,1.2
신중동,78.4,592,6.3,1.1
부천시청,80.8,566,4.5,1.4
상동,84.5,524,8.7,1.2
삼산체육관,77.9,480,6.0,1.2
굴포천,86.0,491,3.6,1.3
부평구청,82.1,545,4.3,1.0
암사,83.9,576,2.9,1.5
천호,86.2,598,3.2,1.4
강동구청,84.7,529,2.4,1.7
몽촌토성,79.1,496,5.2,1.3
잠실,81.5,755,10.2,1.4
석촌,80.6,609,5.1,0.9
송파,91.6,562,4.6,1.9
가락시장,81.0,535,5.7,1.6
문정,86.9,583,4.8,1.9
장지,82.6,523,7.3,1.6
복정,88.8,594,5.4,1.3
산성,88.0,495,5.5,1.0
남한산성입구,79.5,581,4.4,2.0
단대오거리,76.4,564,3.5,1.5
신흥,75.7,520,15.1,1.4
수진,80.1,556,15.3,1.1
모란,85.8,517,4.6,1.1
언주,100.3,642,6.2,1.2
선정릉,88.6,633,5.7,0.7
삼성중앙,79.9,513,3.0,0.2
봉은사,82.4,518,2.8,0.7
종합운동장,86.6,500,3.3,0.4
